,Symbol,Accuracy,Precision,Recall,ROC Score
707,DISHTV,0.96,0.88,1.0,0.97
708,EMUDHRA,0.69,0.56,0.8,0.72
709,SUDARSCHEM,0.97,0.95,1.0,0.98
710,SUNDARMHLD,0.95,0.89,1.0,0.96
711,VMART,0.93,0.85,1.0,0.94
712,LAOPALA,0.99,1.0,0.95,0.97
713,SUNFLAG,0.97,0.9,1.0,0.98
714,KSCL,0.97,0.96,0.94,0.96
715,UNICHEMLAB,0.97,0.94,0.94,0.96
716,HMAAGRO,0.87,0.81,0.58,0.77
717,JTEKTINDIA,0.95,0.96,0.91,0.94
718,IMAGICAA,0.63,0.48,0.9,0.69
719,DELTACORP,0.96,0.9,0.95,0.96
720,MUFIN,0.69,0.46,0.73,0.71
721,KALAMANDIR,0.88,0.0,0.0,0.5
722,BHARATRAS,0.95,0.86,0.94,0.95
723,THANGAMAYL,0.97,0.89,1.0,0.98
724,LGBBROSLTD,0.99,0.97,1.0,1.0
725,BOMDYEING,0.95,0.89,0.98,0.95
726,GREAVESCOT,0.95,0.89,0.96,0.95
727,PFOCUS,0.97,0.93,0.98,0.97
728,INOXGREEN,0.81,0.78,0.78,0.81
729,KOLTEPATIL,0.98,0.96,0.93,0.96
730,HARSHA,0.86,0.81,0.67,0.8
731,DCXINDIA,0.86,0.82,0.69,0.81
732,NUCLEUS,0.95,0.98,0.87,0.93
733,LUXIND,0.98,0.93,1.0,0.99
734,HIKAL,0.97,0.95,0.95,0.97
735,IMFA,0.98,0.93,1.0,0.99
736,NEOGEN,0.98,0.97,0.94,0.97
737,DATAMATICS,0.98,0.97,0.94,0.97
738,KSL,0.93,0.9,0.97,0.94
739,NAVNETEDUL,0.96,0.86,0.92,0.95
740,APOLLO,0.97,0.93,0.98,0.97
741,SEQUENT,0.98,0.94,1.0,0.99
742,HLEGLAS,0.95,0.82,0.82,0.89
743,INDOCO,0.98,0.89,0.94,0.96
744,SHARDACROP,0.95,0.89,0.95,0.95
745,PILANIINVS,0.81,0.69,0.93,0.83
746,KAUSHALYA,0.38,0.24,0.2,0.36
747,ASHAPURMIN,0.96,0.88,0.97,0.96
748,RAJRATAN,0.93,0.86,0.8,0.88
749,SAGCEM,0.95,0.77,0.91,0.93
750,TASTYBITE,0.97,0.5,0.75,0.86
751,BBL,0.95,0.93,0.97,0.95
752,KDDL,0.96,0.92,0.92,0.95
753,CARTRADE,0.85,0.69,0.82,0.84
754,PRAKASH,0.95,0.95,0.93,0.95
755,SEPC,0.84,0.69,0.84,0.84
756,CARERATING,0.91,0.96,0.68,0.83
757,SHILPAMED,0.97,0.93,1.0,0.97
758,TVSSRICHAK,0.96,0.9,0.82,0.9
759,GUFICBIO,0.98,0.92,1.0,0.99
760,SHALBY,0.93,1.0,0.71,0.85
761,DCAL,0.99,1.0,0.98,0.99
762,THYROCARE,0.79,0.57,0.65,0.75
763,AVALON,0.75,0.46,0.94,0.82
764,DALMIASUG,0.98,0.96,0.92,0.96
765,NRBBEARING,0.98,1.0,0.94,0.97
766,GOODLUCK,0.95,0.86,0.98,0.96
767,VENUSPIPES,0.73,0.59,0.79,0.75
768,GMRP&UI,0.85,0.81,0.87,0.85
769,PFS,0.92,0.86,0.95,0.93
770,BANARISUG,0.91,0.82,0.88,0.9
771,SBCL,0.91,0.87,0.85,0.9
772,HINDWAREAP,0.93,0.79,0.91,0.92
773,UFLEX,0.96,0.9,0.95,0.96
774,ZAGGLE,0.5,0.38,0.98,0.63
775,BAJAJCON,0.95,0.89,0.95,0.95
776,PARAGMILK,0.99,0.98,1.0,1.0
777,LUMAXTECH,0.96,0.91,0.96,0.96
